	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
40	35475	City of Calgary	Canada	Calgary		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	This is the first year using this protocol. The inventory was completed to a BASIC level.	CO2; CH4; N2O	18207232.0	10448332.0	7758900.0	Decreased	The community emissions decreased in 2015. This is likely due to a warm winter season as well as slower economic conditions in the city.	2015.0	1203915.0	93000000000.0	CAD     Canadian Dollar	2015.0	http://www.calgary.ca/CA/fs/Documents/Corporate-Economics/Calgary-and-Region-Economic-Outlook/Calgary-and-Region-Economic-Outlook-2015-Spring.pdf	4.1	848.0	1084.0	(51.048615, -114.070846)	(56.130366, -106.346771)	2015.0	1.0		A
46	50555	City of Hamilton	Canada	Hamilton		2016.0	2012-12-31 00:00:00	A metropolitan area	International Emissions Analysis Protocol (ICLEI)	Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill, Transportation and Agriculture data from Statistics Canada Census Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI) Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities	CO2; CH4	16469283.0	6304593.0	10164690.0	Decreased	In 2012 community emissions were estimated at 16,469,283 tonnes, a reduction of - 29% from 2006 emissions levels (estimated at 23,206,135 tonnes). These changes occurred due to the capturing of energy from methane emissions from the Glanbrook landfill, reduced energy demand and shifting of energy from coal as part of the Province’s actions towards the phasing out of coal in Ontario’s energy mixture sources by 2014, a reduction in steel manufacturing, and changing commuting habits and locations of employment. Translated into per capita emissions, the Hamilton community has decreased its emissions by 26% from an estimated 46 tonnes CO2e/person in 2006 to an estimated 34 tonnes CO2e/person in 2011 while population has increased 3%.	2011.0	519949.0	22228328.0	CAD     Canadian Dollar	2014.0	The Conference Board of Canada – Metropolitan Outlook 1: Winter 2015	8.2	1117.0	75.0	(43.250021, -79.866091)	(56.130366, -106.346771)	2012.0	1.0		A
26	31114	City of Sydney	Australia	Sydney	C40	2016.0	2015-06-30 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Traditionally the City of Sydney has calculated city-wide GHG emissions based on the CCAP reporting tool by Kinesis - a private consultancy commissioned by the City. Recently the City has also developed GPC BASIC inventories for the 2005/06, 2013/14 and  2014/15 years to be compliant with the Compact of Mayors. The GPC BASIC inventories show lower emissions compared with inventories based on the CCAP tool due to different methodologies and emissions sources. Future year’s reports may be subject to change as the City of Sydney will be updating its inventories in the short term for achieving beyond GPC BASIC compliance.	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	3556529.0	359064.0	3197465.0	Decreased	City of Sydney emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV installations and weather influences.	2015.0	205339.0	110000000000.0	AUD     Australian Dollar	2015.0	City Strategic Research Unit	20.0	26.0	39.0	(-33.8674869, 151.2069902)	(-25.274398, 133.775136)	2015.0	1.0		A
23	31109	City of Melbourne	Australia	Melbourne	C40	2016.0	2015-06-30 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. Electricity, gas and water data was provided directly by the utility companies. Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.	CO2; PFCs; CH4; SF6; N2O; HFCs	4372420.0	785326.0	3587094.0	Decreased	2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.	2016.0	137889.0	90600000000.0	AUD     Australian Dollar	2015.0	http://melbourne.geografia.com.au/	15.0	38.0	31.0	(-37.814107, 144.96328)	(-25.274398, 133.775136)	2015.0	1.0		A
96	54078	City of Hayward	USA	Hayward		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)		CO2; CH4; N2O	1048704.0	861854.0	186850.0	Decreased	Comparing 2010 to 2015, energy emissions (natural gas and grid-supplied electricity) have decreased by 7%.	2015.0	158985.0					11.8	117.0	32.0	(37.6689, -122.0808)	(37.09024, -95.712891)	2015.0	1.0		A
95	31179	Gemeente Rotterdam	Netherlands	Rotterdam	C40	2017.0	2016-01-03 03:16:00	Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.	Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment		CO2	34190633.0	17840039.0		Increased	The total amount of CO2-emission in Rotterdam in 2015 has increased compared to the 2014-emissions. 34190633 tonnens in 2015 compared to 31512000 tonnes in 2014. It is the second relevant increase in a row, due to two new coal fire plants that started their operations. For that cause, we expect a further increase in 2016 and a decrease in 2017 when an old coal fire plant wil be closed.	2014.0	624000.0					11.0	208.0	-5.0	(51.9163716, 4.4509382)	(52.132633, 5.291266)	2016.0		Replaced by CDP2017 data. Reason: CDP2016 Scope1 includes power plant emissions. Action: Use CDP2017 (TOT and S1 values available only).	C
41	50579	City of Winnipeg	Canada	City of Winnipeg		2016.0	1998-12-31 00:00:00	Administrative boundary of a local government	Other	This was applied in compliance with the national Partners for Climate Protection program,	CO2; CH4; N2O	5257325.0	5167453.0	89872.0	Decreased	Some waste fell outside of measurement scope. Decrease in natural gas consumption (reason unknown).	2015.0	718400.0	35000000000.0	CAD     Canadian Dollar	2014.0	Economic Development Winnipeg	2.4	464.0	230.0	(49.8997541, -97.1374937)	(56.130366, -106.346771)	1998.0	1.0		A
94	61790	City of Emeryville, CA	USA	Emeryville, CA		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	167728.0	127138.0	40590.0	Decreased		2014.0	10570.0		USD     US Dollar			15.1	5.2	7.0	(37.831316, -122.285247)	(37.09024, -95.712891)	2014.0	1.0		A
92	50369	Ayuntamiento de San Luis Potosí	Mexico	San Luis Potosí		2016.0	2015-12-31 00:00:00	A metropolitan area	2006 IPCC Guidelines for National Greenhouse Gas Inventories	the IPCC methodology was followed , implementing all the criteria therein following the classification.	CO2; CH4; N2O	1320629.99	1096122.89	224507.1	Increased	Because in recent years the city has seen a high degree of interest of foreign companies for the installation of new industrial plants, thus the demand for jobs and resources increases, having a greater number of companies, workers they need transportation that is often itself.	2015.0	824229.0	183992.0	MXN     Mexican Peso	2015.0	INEGI	21.0	1482.0	1998.0	(22.173333, -100.97005)	(23.634501, -102.552784)	2015.0	1.0		A
91	31172	Mexico City	Mexico	Mexico City	C40	2016.0	2014-12-31 00:00:00	Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City	CO2; CH4; N2O; HFCs	23655110.96	16842493.45	6812617.51	Decreased	Emissions Inventory has a reduction of  4% due to: • Lower consumption of fossil fuels in the residential sector • Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory it´s 0.49 t CO2 /Mwh. • The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014. • Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the Secretaría de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% • On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.; because of that, the 2014 emissions are bigger than 2012. •For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014.	2014.0	8874724.0	2582213000000.0	MXN     Mexican Peso	2014.0	INEGI	16.0	1485.0	2240.0	(19.4326077, -99.133208)	(23.634501, -102.552784)	2014.0	1.0		A
21	32480	City of Adelaide	Australia	Adelaide		2016.0	2013-06-30 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	486541.0	63724.0	422817.0	Decreased	Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.	2015.0	23169.0	18360000000.0	AUD     Australian Dollar	2015.0	:  http://economy.id.com.au/adelaide	18.0	16.0	38.0	(-34.928499, 138.600746)	(-25.274398, 133.775136)	2013.0	1.0		A
87	55442	Município de Moita	Portugal	Moita		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)	CO2	96508.0	49910.0	46598.0	Decreased	Consumption reduction	2011.0	66029.0					17.5	55.0	10.0	(41.30284, -8.65731)	(39.399872, -8.224454)	2013.0	1.0		A
22	43928	Canberra	Australia	Canberra		2016.0	2015-06-30 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale.	CO2; CH4; SF6; N2O; HFCs	4003900.0	1757500.0	2246400.0	Increased	The ACT emissions have increased by 4.6% since the last inventory. This is largely due to two external factors. The first is the National repeal of the carbon price, which saw a higher percentage of supplied energy come from fossil fuels, increasing the emissions factor for the electricity grid despite the ACT’s own renewable energy coming online. The second was a below average minimum winter temperatures which are linked to more days requiring heating for households. The slight increase in demand for electricity, coupled with the increased emission factor saw a spike in emissions from the electricity sector compared to last year.	2016.0	400000.0	34866000000.0	AUD     Australian Dollar	2015.0	ABS, 2015	13.5	2358.0	578.0	(-35.3075, 149.1244)	(-25.274398, 133.775136)	2015.0	1.0		A
