	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
94	Hjørring	22.0	7.5	Other: Energy plan for Hjoerring Municipality			0.01703133	0.0106834006		19088026316.0	(57.456779, 9.995764)	Municipality of Hjørring	65308.0	2016.0	A	Other	0.7	4517000000.0		DKK     Danish Krone	http://www.danskbyggeri.dk/media/7648/regional-oversigt-over-bnp-i-kommunerne.pdf	CO2		Decreased	7.5		6412000000.0	Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially. Industry: Large decrease in fuel consumption, especially from fossil fuels.	2016.0				289000.0	CDP	tCO2	2014.0	128000.0				417000.0				0.0125594652	Denmark												Europe	1.0
80	Hoeje-Taastrup Kommune	27.0	8.1	Administrative boundary of a local government			0.01703133	0.0106834006		3402000000.0	(55.656328, 12.2898)	Hoeje-Taastrup Kommune	50002.0	2016.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.7	4517000000.0		USD     US Dollar	Danmarks Statistik	CO2		Decreased	78.0	National standard for municipalities in Denmark	6412000000.0	From 390.000 ton CO2 in 2009. Energy conservation activities, conversion from oil and electricity heating to district heating, less fossil fuel in the combined heat and power production as well as in the district heating	2016.0				173000.0	CDP	tCO2	2014.0	124000.0				297000.0		2012.0		0.0125594652	Denmark												Europe	1.0
269	Hohhot				244.9				1.52							Other			11949374.0				41255.52										2721836.64	PKU	tCO2	2010.0						1790682.0				China		Huhehaote										East Asia	
149	Hong Kong	129.0	23.3	Administrative boundary of a local government		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	0.0206548504	0.0157233279		310000000000.0	(22.2880809, 114.1398015)	Government of Hong Kong Special Administrative Region	7336600.0	2016.0	C	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		USD     US Dollar	Census and Statistics Department	CO2; CH4; N2O; HFCs; PFCs; SF6		Increased	1104.0	95% level of confidence	1.0	Hong Kong's GHG emission recorded a small increase of 1.31% from 44.3 million tones CO2e in 2013 to 44.9 million tonnes CO2e in 2014, mainly due to (i) the increase in electricity generation to cope with GDP and population growth; (ii) more use of coal for electricity generation to make up the shortfall in natural gas supply.	2017.0	40633441.48755008	41139969.99917908	41646498.51080808	44876460.0	CDP	tCO2-eq	2014.0		40656981.48755008	41163509.99917908	41670038.51080808	44900000.0		2015.0		0.0206548504	China												East Asia	
115	Houston	13.0	21.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998		517400000000.0	(29.7601927, -95.3693896)	City of Houston	2195914.0	2013.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	https://www.houston.org/pdf/research/quickview/Employment-Forecast.pdf	CO2; CH4; N2O		This is our first year of calculation	1625.0		766200000000.0	We are using the same inventory we submitted last year, and that was our first year conducting a community-wide GHG inventory using the ICLEI Community Protocol.	2016.0	13882674.102128442	14434990.36725339	14987306.632378334	16075539.0	CDP	tCO2-eq	2014.0	14511262.0	31235436.10212844	31787752.367253385	32340068.63237833	33428301.0		2014.0		0.0356646952	USA												North America	0.9149971755968094
300	Huaibei				99.9				1.1810399999999999							Other			3487685.0				44978.6										1322234.5130399999	PKU	tCO2	2010.0						1119551.0				China		Huaibei										East Asia	
299	Huainan				165.7				0.78							Other			4315738.0				47477.12										1124851.26	PKU	tCO2	2010.0						1442117.0				China		Huainan										East Asia	
320	Huangshi				122.3				0.40832236984399994							Other			3525200.0				28787.55										563460.7793640001	PKU	tCO2	2010.0						1379941.0				China		Huangshi										East Asia	
224	Hue															Community																	1040337.0	carbonn	tCO2-eq	2011.0								Municipality		Vietnam			Hue City	USD	797724000.0	2014.0	16.450001	107.58333600000002	930583326.4475868	354544.0	2014.0	Southeast Asia	
225	Hyderabad															Community																	2196031.0	carbonn	tCO2-eq	2010.0								Independent municipality		India			Greater Hyderabad Municipal Corporation				17.366	78.476	13208847320.9935	6731790.0	2011.0	South Asia	
32	Incheon	26.0	12.7	Administrative boundary of a local government			0.0157162134	0.0109325943		68373000000000.0	(37.456256, 126.705206)	Incheon Metropolitan City	2983484.0	2015.0	A	Other	0.0	0.0		KRW     South Korean Won	KOSIS	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Increased	1381.0	Calculation Korea Environment Corporation municipal greenhouse gas emissions guidelines ver.4.0 (2015. January)	1.0	GHG emissions saw a 2.2% increase due to a comprehensive increase in Scope 1 energy usage related to increase in population, households, GRDP, and motor vehicles caused by the development of new cities such as Songdo, Cheongna and Yeongjong.	2016.0	56407018.00585441	56606823.92051162	56806629.83516885	57719912.0	CDP	tCO2-eq	2015.0	12074228.0	68481246.0058544	68681051.92051163	68880857.83516885	69794140.0		2014.0		0.0157162134	South Korea												East Asia	1.0
120	Indianapolis	230.0	11.7	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0367294791	0.017698981699999998		125000000000.0	(39.767625, -86.178469)	City of Indianapolis	853000.0	2015.0	A	Other: Hestia Project	0.06	42870000000.0		USD     US Dollar	http://bea.gov/newsreleases/regional/gdp_metro/2014/pdf/gdp_metro0914.pdf	CO2		This is our first year of calculation	953.0	The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. Though the reported number has been tested and reported through peer-reviewed journals, there is limited confidence in the comparability to other cities. Published in Environmental Science and Technology by Kevin R. Gurney, Igor Razlivanov, Yang Song, Yuyu Zhou, Bedrich Benes,and Michel Abdul-Massihhttp://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf	766200000000.0		2017.0				726155.11	CDP	tCO2	2013.0	1434209.86				2160364.98		2014.0		0.0356646952	USA												North America	1.0
226	Indore															Community																	1145839.0	carbonn	tCO2-eq	2007.0								Municipality		India			Indore Municipal Corporation				22.723481	75.860184	4311742035.76986	2197447.0	2011.0	South Asia	
108	Iowa	203.0	10.5	Administrative boundary of a local government			0.0367294791	0.017698981699999998		8564000000.0	(41.6611, -91.5302)	City of Iowa City	73415.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	BEA-for Metropolitan Statistical Area	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	65.5	The methodology that was used was through ICLEI in 2009 using Clean Air and Climate Protection (CACP2009) software.	766200000000.0	The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased, but the per capita emissions have decreased since we have been tracking emissions. See attachment above.	2016.0	516968.93925297604	535434.279245411	553899.619237846	590282.0	CDP	tCO2-eq	2013.0	699338.0	1225306.9392529759	1243772.279245411	1262237.619237846	1298620.0		2013.0		0.0356646952	USA												North America	0.9930695661548412
197	Istanbul															Community																	37199137.0	carbonn	tCO2-eq	2010.0								Special municipality / Federal district		Turkey			Istanbul Metropolitan Municipality	USD	3324000000.0	2012.0	41.00824	28.978359	3902129563.8018093	14657434.0	2015.0	North Africa, Middle East, West Asia	
227	Izmir															Community - GPC																	50287659.0	carbonn	tCO2-eq	2015.0								Municipality		Turkey			Izmir Metropolitan Municipality	TRY	127429459000.0	2014.0	38.41842000000001	27.14283	67970752229.2977	4113072.0	2014.0	North Africa, Middle East, West Asia	
228	Jaipur															Community																	7610894.0	carbonn	tCO2-eq	2010.0								Municipality		India			Jaipur Municipal Corporation				26.926	75.8235	6030403639.14729	3073350.0	2011.0	South Asia	
151	Jakarta		29.0	Administrative boundary of a local government			0.0167237797	0.0109098013			(-6.2087634, 106.845599)	Jakarta City Government	10075300.0	2015.0	D	Other	0.42	31780000000.0			Central Statistics Agency (BPS)			Decreased	662.0	Identify GHG emissions from potential sector, such energy using, transportation, solid waste, waste water, and industrial. Inventory GHG emissions and transportation as potential source. Identify mitigaton action through define criteria and scoring. Method of calculation:Emission / absorption of GHG = AD x EF, AD: The data generated from the construction activities and human activities, EF: The amount of emissions per uptake per unit	75000000000.0	- Commitment to Reduce the Greenhouse Gas Emissions - Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in 	2016.0					CDP	tCO2-eq	2014.0		23757076.86336228	24229665.13715068	24702253.41093908	27780000.0		2015.0		0.0142602033	Indonesia												Southeast Asia	
229	Jerusalem															Community																	2353555.0	carbonn	tCO2-eq	2007.0								Municipality		Israel			Jerusalem Municipality				31.7833	35.2167	34515477857.5964	890428.0	2013.0	North Africa, Middle East, West Asia	
288	Jiamusi				57.1				0.36530562007899997							Other			2561501.0				33718.0										495170.67210100003	PKU	tCO2	2010.0						1355497.0				China		Jiamusi										East Asia	
318	Jiaozhuo				121.7				0.49194801888000006							Other			2522205.0				29761.86										815447.132719	PKU	tCO2	2010.0						1657588.0				China		Jiaozhuo										East Asia	
281	Jilin				180.3				0.944832							Other			10241814.0				35685.57										2348914.71091	PKU	tCO2	2010.0						2486066.0				China		Jilin										East Asia	
304	Jinan, Shandong				626.6				1.76							Other			29598443.0				41025.84										7731542.72	PKU	tCO2	2010.0						4392922.0				China		Jinan										East Asia	
322	Jingzhou				71.7				0.32229015808600003							Other			2975773.0				26507.64										778879.269628	PKU	tCO2	2010.0						2416702.0				China		Jingzhou										East Asia	
277	Jinzhou				120.5				0.613918948728							Other			4391806.0				33390.31										918688.574202	PKU	tCO2	2010.0						1496433.0				China		Jinzhou										East Asia	
284	Jixi				64.5				0.389216009608							Other			1635323.0				31266.77										476065.669992	PKU	tCO2	2010.0						1223140.0				China		Jixi										East Asia	
11	Johannesburg	1645.0	20.0	Administrative boundary of a local government			0.0139613383	0.0122306776		337000000000.0	(-26.2041028, 28.0473051)	City of Johannesburg	4764381.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		ZAR     South African Rand	http://www.bsivjoburg.co.za/bsivjoburg/index.cfm/economic-overview/joburg-economic-overview/	CO2; CH4; N2O		Decreased	1645.0	The City of Johannesburg 2014 inventory is the first GPC compliant inventory compiled for the City. It builds on the pioneering work undertaken by Siemens who compiled the first inventory for the City for the 2007 calendar year. Siemens prepared the initial report under an arrangement with C40 in 2012, and analyses the high-level changes between the two inventory years.	1.0	This decrease could be attributed to a number of reasons, for example there seems to be a correlation between it and the drop in electricity consumption. This drop in electricity consumption is mirrored in all the major municipalities in South Africa. There may well be data deficiency artefacts. The real reasons for this decrease and/or other trend that becomes apparent,will become clear as we become more thorough in quality data collection methods. Furthermore, to enhance our understand we will do bottom up data collection at a project level.	2016.0	7205878.221929415	7321315.59932079	7436752.976712164	9068358.0	CDP	tCO2-eq	2014.0	15661031.0	22854233.221929416	22969670.59932079	23085107.976712164	24716713.0		2015.0		0.0139613383	South Africa												Africa	1.0005128513649852
98	Kadiovacik	327.0	19.0	Administrative boundary of a local government			0.0296417873	0.0255910407		10000.0	(38.3434574, 26.553613)	Village of Kadiovacik	216.0	2016.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.05	31000000.0		TRY     New Turkish Lira	Governental	CO2		Decreased	5947.0		632000000.0	Due to the energy saving training to the villagers	2016.0				404.65	CDP	tCO2	2015.0	39.14				443.79		2016.0		0.0294430956	Turkey												North Africa, Middle East, West Asia	1.0
313	Kaifeng				74.9				0.5320277603019999							Other			2174801.0				24873.49										882357.931934	PKU	tCO2	2010.0						1658481.0				China		Kaifeng										East Asia	
30	Kaohsiung	50.0	25.1	Administrative boundary of a local government			0.0149246533	0.0129213814		524493000000.0	(22.629705, 120.343804)	Kaohsiung City Government	2778729.0	2015.0	A	Other	0.0	0.0		USD     US Dollar	http://0rz.tw/mT92O	CO2; CH4; N2O; HFCs; PFCs; SF6		Stayed the same	2947.0	GHG Inventory Accounting Guideline for Local City (EPA): Our country in order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, so referring to related international GHG inventory guidelines for local cities, including IEAP published in 2009, to develop our city GHG inventory guideline.	1.0	The city administrative area emissions is gentlely decreasing, and total emissions reduction range is 0.11%.	2016.0	42341483.79568964	42419415.49181745	42497347.18794526	43502687.67	CDP	tCO2-eq	2014.0	15253076.46	57594560.25568964	57672491.95181745	57750423.64794526	58755764.13		2015.0		0.0149246533	Taiwan												East Asia	1.0
